PDB ID,Res Name,Chain,Res ID,pKa,Expt. Uncertainty,Neighbors <4A,# HB R-R,#HB R(D)-BB,# HB  R-BB(D),#HB R(A)-BB,# HB R-BB(A),#HB BB-BB,%SASA,Expt. Method,Expt. Salt Concentration,Expt. pH,Expt. Temp.,Reference,Mutant Pos,Mutant Chain,Std deviation,Unnamed: 8,Expt. method,Expt. salt conc,Expt. temp
1HRC,HIS,A,18,2.5,,Q16,,1.0,,,,,22.2,Potentiometric titration,0.1 M,3.0-11.0,303 K,https://pubs.acs.org/doi/abs/10.1021/bi00654a018,,,,,,,
1EY0,HIS,A,121,5.3,0.06,E122,1.0,,,,,,24.4,1H NMR,0.1 M,4.0-9.0,298 K,https://www.ncbi.nlm.nih.gov/pubmed/11969427,,,,,,,
3EBX,HIS,A,26,5.8,,K27,,,,,,2.0,22.0,NMR,,,296-326 K,https://www.ncbi.nlm.nih.gov/pubmed/710401,,,,,,,
1KF3,HIS,A,12,6,0.1,"E9, R10, Q11",,1.0,,,,2.0,6.6,NMR,1 M,1.2-7.9,303 K,https://www.ncbi.nlm.nih.gov/pubmed/8615690,,,,,,,
1A2P,HIS,C,102,6.3,0.05,D101,,,,,,,71.0,NMR,5M,6.0-9.0,298 K,https://www.ncbi.nlm.nih.gov/pubmed/3173493,,,,,,,
1J7P,HIS,A,144,6.47,,,,,,,,,,,,4.5-8.5,,https://onlinelibrary.wiley.com/doi/am-pdf/10.1002/prot.25321,"E127A,M144H",A,0.02,47.53,NMR,60mM,298K
2PYO,HIS,D,106,6.52,0.05,"E102, K105",,,,,,1.0,93.39,NMR,200 mM,4.4-9.1,303 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8626509/pdf/41598_2021_Article_2436.pdf,,,,,,,
1QT8,HIS,A,26,6.8,,,,,,,,,,,,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/pro.3562,H26H,A,0.1,17.39,C-NMR,130mM,298K
3FT7,HIS,B,51,6.94,0.03,"D49, D52",,,,,,,39.42,NMR,<60mM,0-12.5,298 K,https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/cbic.201800628,,,,,,,
P53378,HIS,A,470,7.16,0.02,,,,,,,,,NMR,,2.3-7.2,297K,https://onlinelibrary.wiley.com/doi/full/10.1002/pro.3618,,,,,,,
1BVI,HIS,B,92,7.31,0.04,,,1.0,,,,1.0,32.8,NMR,1 M,2.0-9.0,308 K,https://link.springer.com/article/10.1007/s002490100138,,,,,,,
1GYM,HIS,A,32,7.6,,"D33, Q51, D273",1.0,,,,1.0,1.0,14.0,NMR,,4.0-9.0,298 K,https://www.ncbi.nlm.nih.gov/pubmed/9300493,,,,,,,
1DE3,HIS,A,150,7.9,,,,,,,,,,,,3.0-8.5,,https://pubs.acs.org/doi/abs/10.1021/bi0349773,E96Q,A,0.1,,NMR,0.2 M,308 K
1H4G,HIS,B,60,4.01,0.02,"Q58, Q61",1.0,,,,,,1.3,NMR,1 M,3.2-8.7,303 K,https://pubs.acs.org/doi/abs/10.1021/bi049948m,,,,,,,
1KXI,HIS,A,4,5.6,,,,,1.0,,1.0,,10.9,NMR,,2.5-7.0,293 K,https://pubs.acs.org/doi/abs/10.1021/bi960077t,,,,,,,
1EY0,HIS,A,46,5.86,0.04,K45,,,1.0,2.0,,,37.3,1H NMR,0.1 M,4.0-9.0,298 K,https://www.ncbi.nlm.nih.gov/pubmed/11969427,,,,,,,
2TRX,HIS,A,6,6.2,,,,,,,,,85.2,NMR,1 M,,298-308 K,https://pubs.acs.org/doi/abs/10.1021/bi961801a,,,,,,,
1LNI,HIS,A,85,6.35,0.02-0.07,D84,,,,,,,69.1,NMR,0.1 M,1.68-8.83,293 K,https://www.ncbi.nlm.nih.gov/pubmed/12527309,,,,,,,
1NLX,HIS,A,505,6.5,,E103,,,,,,,124.68,NMR,10mM,2.2-8.5,298K,https://pubs.acs.org/doi/pdf/10.1021/acs.jctc.9b00540,,,,,,,
2PYO,HIS,D,79,6.66,0.06,R76,,,,,,1.0,52.77,NMR,200 mM,4.4-9.1,303 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8626509/pdf/41598_2021_Article_2436.pdf,,,,,,,
1DUI,HIS,A,64,6.88,,,,,,,,,,,,6.1-8.0,,https://www.ncbi.nlm.nih.gov/pubmed/3302273,D99S,A,0.02,,Reaction kinetics,0.1 M,298 K
1GOA,HIS,A,62,7,,E61,,,,,,,94.0,NMR,0.1 M,3.5-10.0,300 K,https://www.ncbi.nlm.nih.gov/pubmed/8380173,,,,,,,
1B2V,HIS,A,128,7.2,,,,,,,,,,,,4.9-9.0,,https://www.ncbi.nlm.nih.gov/pubmed/11910020,Y75A,A,,,NMR,0.1 M,303 K
1BVI,HIS,B,40,7.44,0.05-0.4,"K41, E58",,1.0,,,,,32.8,NMR,1 M,2.0-9.0,308 K,https://link.springer.com/article/10.1007/s002490100138,,,,,,,
6GST,HIS,A,167,7.77,0.03,"D164, Q165",,,,,,1.0,39.1,NMR,,4.0-9.0,298 K,https://www.ncbi.nlm.nih.gov/pubmed/1918058,,,,,,,
1THE,HIS,A,199,8.6,,,1.0,,,,,2.0,6.5,Reaction kinetics,250 mM,3.2-8.4,297 K,https://www.ncbi.nlm.nih.gov/pubmed/1537854,,,,,,,
6GST,HIS,A,83,5.18,0.05,"R81, K82, H84",,,,,,,47.8,NMR,,4.0-9.0,298 K,https://www.ncbi.nlm.nih.gov/pubmed/1918058,,,,,,,
1ERA,HIS,A,26,5.8,,K27,,,,,,2.0,19.2,NMR,1 M,3.2-13.0,296 K,https://www.ncbi.nlm.nih.gov/pubmed/710401,,,,,,,
1POH,HIS,A,76,6,,"K72, K75",,,,,,2.0,39.7,NMR,,4.2-11.0,308 K,https://www.ncbi.nlm.nih.gov/pubmed/6809041,,,,,,,
1DE3,HIS,A,35,6.3,,,,,,,,,,,,3.0-8.5,,https://pubs.acs.org/doi/abs/10.1021/bi0349773,E96Q,A,0.2,,NMR,0.2 M,308 K
1DE3,HIS,A,50,6.4,,,,,,,,,,,,3.0-8.5,,https://pubs.acs.org/doi/abs/10.1021/bi0349773,E96Q,A,0.2,,NMR,0.2 M,308 K
1H4G,HIS,B,11,6.52,0.26,D12,,,,,,2.0,33.8,NMR,1 M,3.2-8.7,303 K,https://pubs.acs.org/doi/abs/10.1021/bi049948m,,,,,,,
1U2U,HIS,A,28,6.79,0.01,"Q25, E27, E29",,,,,,,113.1,1H NMR,0.1 M,2.0-9.0,310 K,https://pubs.acs.org/doi/abs/10.1021/bi048771t,,,,,,,
1GYM,HIS,A,82,6.9,,H81,,,,,,,30.7,NMR,,4.0-9.0,298 K,https://www.ncbi.nlm.nih.gov/pubmed/9300493,,,,,,,
1LZ1,HIS,A,78,7.12,0.04,,,,,,,1.0,108.1,NMR,0.022 M,,296 K,https://onlinelibrary.wiley.com/doi/pdf/10.1002/bip.360320802,,,,,,,
1NLX,HIS,A,490,7.3,,,1.0,,,,,,77.88,NMR,10mM,2.2-8.5,298K,https://pubs.acs.org/doi/pdf/10.1021/acs.jctc.9b00540,,,,,,,
1BVI,HIS,B,27,7.57,0.12,"K25, E28",1.0,,,,,,27.0,NMR,1 M,2.0-9.0,308 K,https://link.springer.com/article/10.1007/s002490100138,,,,,,,
1GOA,HIS,A,127,7.9,,H124,,,,,,1.0,31.8,NMR,0.1 M,3.5-10.0,300 K,https://www.ncbi.nlm.nih.gov/pubmed/8380173,,,,,,,
2TGA,HIS,A,40,4.57,0.02,,4.0,,,,,,30.7,NMR,0.5 M,3.0-9.0,303 K,https://pubs.acs.org/doi/abs/10.1021/bi00615a008,,,,,,,
2PYO,HIS,D,46,5.64,0.03,"K43, Q44",,1.0,,,,1.0,10.69,NMR,200 mM,4.4-9.1,303 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8626509/pdf/41598_2021_Article_2436.pdf,,,,,,,
1DE3,HIS,A,137,5.9,,,,,,,,,,,,3.0-8.5,,https://pubs.acs.org/doi/abs/10.1021/bi0349773,E96Q,A,0.1,,NMR,0.2 M,308 K
2ZTA,HIS,A,18,6.24,0.06,K15,,,,,,,72.7,NMR,150 mM,1.0-13.0,298 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2105789/,,,,,,,
1DUK,HIS,A,119,6.39,0.02,"H116, R118",2.0,,,,,2.0,16.5,NMR,0.1 M,5.5-10,298 K,https://pubs.acs.org/doi/abs/10.1021/bi00143a018,,,,,,,
1FKS,HIS,A,87,6.51,0.01,,1.0,,,,,,87.7,NMR,0.1 M,4.6-10.7,298 K,https://www.sciencedirect.com/science/article/pii/0167483894901325?via%3Dihub,,,,,,,
1H4G,HIS,B,32,6.68,0.03,,,,,,1.0,1.0,88.6,NMR,1 M,3.2-8.7,303 K,https://pubs.acs.org/doi/abs/10.1021/bi049948m,,,,,,,
1THE,HIS,A,110,6.9,,"E109, H111",1.0,,,,,,7.8,Reaction kinetics,250 mM,3.2-8.4,297 K,https://www.ncbi.nlm.nih.gov/pubmed/1537854,,,,,,,
6GST,HIS,A,84,7.08,0.01,"R81, K82, H83",,,,,,,102.9,NMR,,4.0-9.0,298 K,https://www.ncbi.nlm.nih.gov/pubmed/1918058,,,,,,,
1YPI,HIS,A,103,7.29,,"R98, R99, E104",,,,,,,88.4,NMR,1 M,4.5-10.0,298 K,https://pubs.acs.org/doi/abs/10.1021/bi00067a024,,,,,,,
1PPF,HIS,I,52,7.5,,,,1.0,,,,1.0,44.9,NMR,0.015 M,5.0-13.0,298 K,https://pubs.acs.org/doi/pdf/10.1021/bi980187v,,,,,,,
1HHO,HIS,B,77,7.8,0.1,,,,,,,,67.8,NMR,,5.0-9.0,309.5 K,https://pubs.acs.org/doi/abs/10.1021/bi00560a010,,,,,,,
1QT8,HIS,A,31,8.9,,,,,,,,,,,,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/pro.3562,H26H,A,0.1,33.27,C-NMR,130mM,298K
