PDB ID,Res Name,Chain,Res ID,pKa,Expt. Uncertainty,Neighbors <4A,# HB R-R,#HB R(D)-BB,# HB  R-BB(D),#HB R(A)-BB,# HB R-BB(A),#HB BB-BB,%SASA,Expt. Method,Expt. Salt Concentration,Expt. pH,Expt. Temp.,Reference,Mutant Pos,Mutant Chain,Std deviation,Unnamed: 8,Expt. method,Expt. salt conc,Expt. temp
1L54,LYS,A,102,6.5,,,,,,,,,,,,2.2-9.0,,https://pubs.acs.org/doi/abs/10.1021/bi00113a006,K102K,A,,,NMR,0.1 M,298 K
1XSN,LYS,A,312,9.58,,"R308, E311",,,,,,1.0,15.3,NMR,100 mM,7.0-10.5,298 K,https://pubs.acs.org/doi/abs/10.1021/bi051856p,,,,,,,
1LSE,LYS,A,97,10.3,0.1,K96,,,,,,,81.7,Potentiometric titration,0.1 M,1.8-11.1,298 K,https://www.ncbi.nlm.nih.gov/pubmed/6771251,,,,,,,
1NFN,LYS,A,1,10.5,0.1,,,,,,,,80.7,NMR,150 mM,5.5-12.5,310 K,https://www.ncbi.nlm.nih.gov/pubmed/12588864,,,,,,,
2ZTA,LYS,A,28,10.64,0.12,"R35, K27",,,,,,,96.8,NMR,150 mM,1.0-13.0,298 K,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2105789/,,,,,,,
1BHC,LYS,J,41,10.8,0.1,"R39, R42",,,,,,,52.9,NMR,200 mM,0-16,293 K,https://www.sciencedirect.com/science/article/pii/S0022283684713015?via%3Dihub,,,,,,,
1PPF,LYS,I,55,11.1,0.06,,,,,,,,79.1,NMR,0.015 M,5.0-13.0,298 K,https://pubs.acs.org/doi/pdf/10.1021/bi980187v,,,,,,,
3FT7,LYS,B,56,11.44,0.1,,,,,,,,,NMR,<60mM,0-12.5,298 K,https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10.1002/cbic.201800628,,,,,,,
1NFN,LYS,A,146,9.2,0.1,"R142, K143, R145, R147",,,,,,1.0,85.0,NMR,150 mM,5.5-12.5,310 K,https://www.ncbi.nlm.nih.gov/pubmed/12588864,,,,,,,
1NFN,LYS,A,95,10.1,0.1,"R92, E96",,,,,,,102.8,NMR,150 mM,5.5-12.5,310 K,https://www.ncbi.nlm.nih.gov/pubmed/12588864,,,,,,,
